name_en;name_fr
Canada;Canada
Mali;Mali
Northern Mariana Islands;Iles Mariannes du Nord
Sudan;Soudan
Barbados;Barbade
Fiji;Fidji
Kyrgyzstan;Kirghizistan
Mauritania;Mauritanie
Zimbabwe;Zimbabwe
Quebec;Québec
Chile;Chili
Croatia;Croatie
Saudi Arabia;Arabie Saoudite
American Samoa;Samoa américaines
Bermuda;Bermudes
Democratic Republic of Congo;République Démocratique du Congo
Costa Rica;Costa Rica
Guinea;Guinée
Isle of Man;Île de Man
Japan;Japon
Solomon Islands;Îles Salomon
San Marino;Saint-Marin
Suriname;Suriname
Turks and Caicos Islands;Îles Turques-et-Caïques
Antigua and Barbuda;Antigua-et-Barbuda
Congo;Congo
Honduras;Honduras
Saint Kitts and Nevis;Saint-Christophe-et-Niévès
Romania;Roumanie
Sao Tome and Principe;Sao Tomé-et-Principe
South Africa;Afrique du Sud
Bulgaria;Bulgarie
Brunei Darussalam;Brunei
Cyprus;Chypre
Micronesia;Micronésie
Morocco;Maroc
Moldova;Moldavie
Madagascar;Madagascar
Mongolia;Mongolie
Sierra Leone;Sierra Leone
Timor-Leste;Timor oriental
Viet Nam;Viêt Nam
Angola;Angola
Belize;Belize
Hungary;Hongrie
Ireland;Irlande
Kuwait;Koweït
Maldives;Maldives
Niger;Niger
Nicaragua;Nicaragua
Palestine State of;Palestine
Taiwan;Taïwan
Argentina;Argentine
Colombia;Colombie
Jordan;Jordanie
Namibia;Namibie
Serbia;Serbie
Tajikistan;Tadjikistan
Cabo Verde;Cap Vert
Georgia;Géorgie
Republic of Kosovo;Kosovo
Luxembourg;Luxembourg
Oman;Oman
Russian Federation;Russie
Somalia;Somalie
Seychelles;Seychelles
Chad;Tchad
Tuvalu;Tuvalu
Andorra;Andorre
Bahrain;Bahreïn
Brazil;Brésil
Djibouti;Djibouti
Dominica;Dominique
Estonia;Estonie
Guatemala;Guatemala
Israel;Israël
Monaco;Monaco
Malta;Malte
Senegal;Sénégal
Vanuatu;Vanuatu
Aruba;Aruba
Benin;Bénin
Belarus;Biélorussie
Cayman Islands;Îles Caïmans
Gibraltar;Gibraltar
Guinea-Bissau;Guinée-Bissau
Grenada;Grenade
India;Inde
Libya;Libye
Saint Lucia;Sainte-Lucie
Latvia;Lettonie
North Korea;Corée du Nord
South Sudan;Soudan du Sud
Trinidad and Tobago;Trinité et Tobago
Albania;Albanie
Bhutan;Bhoutan
Côte dIvoire;Côte dIvoire
Sri Lanka;Sri Lanka
Panama;Panama
Syrian Arab Republic;Syrie
Uzbekistan;Ouzbékistan
Austria;Autriche
Egypt;Egypte
Eritrea;Erythrée
Faroe Islands;Îles Féroé
Equatorial Guinea;Guinée-Équatoriale
Greenland;Groenland
Guyana;Guyana
Lithuania;Lituanie
Mexico;Mexique
Norway;Norvège
Rwanda;Rwanda
Swaziland;Eswatini
Thailand;Thaïlande
United Arab Emirates;Emirats arabes unis
Spain;Espagne
United Kingdom of Great Britain and Northern Ireland;Royaume-Uni
Iceland;Islande
Kenya;Kenya
Lesotho;Lesotho
Nigeria;Nigéria
Palau;Palaos
Papua New Guinea;Papouasie-Nouvelle-Guinée
Burkina Faso;Burkina Faso
China;Chine
Cambodia;Cambodge
Lebanon;Liban
Liechtenstein;Liechtenstein
Paraguay;Paraguay
Slovenia;Slovénie
Tonga;Tonga
Turkey;Turquie
Tanzania;Tanzanie
Greece;Grèce
Mozambique;Mozambique
Mauritius;Ile Maurice
Botswana;Botswana
Central African Republic;République centrafricaine
Finland;Finlande
Kazakhstan;Kazakhstan
Marshall Islands;Îles Marshall
Montenegro;Monténégro
Malaysia;Malaisie
Nepal;Népal
New Zealand;Nouvelle-Zélande
Peru;Pérou
United States of America;Etats-Unis
Yemen;Yémen
Cameroon;Cameroun
Cuba;Cuba
Dominican Republic;République dominicaine
Italy;Italie
Liberia;Liberia
Sweden;Suède
Tunisia;Tunisie
Samoa;Samoa
Curaçao;Curaçao
Denmark;Danemark
Indonesia;Indonésie
Singapore;Singapour
El Salvador;Salvador
Uganda;Uganda
Uruguay;Uruguay
Venezuela;Venezuela
Germany;Allemagne
Guam;Guam
Macedonia;Macédoine
Malawi;Malawi
Pakistan;Pakistan
Portugal;Portugal
Belgium;Belgique
Bolivia;Bolivie
Comoros;Comores
Switzerland;Suisse
Ghana;Ghana
Iran;Iran
Iraq;Irak
Jamaica;Jamaïque
Netherlands;Pays-Bas
Poland;Pologne
Vatican City;Vatican
Afghanistan;Afghanistan
Algeria;Algérie
Hong Kong;Hong Kong
Lao;Laos
Nauru;Nauru
Turkmenistan;Turkménistan
Zambia;Zambie
Australia;Australie
Bahamas;Bahamas
Bosnia and Herzegovina;Bosnie-Herzégovine
Czech Republic;République tchèque
France;France
South Korea;Corée du Sud
Philippines;Philippines
Saint Vincent and the Grenadines;Saint-Vincent-et-les-Grenadines
Armenia;Arménie
Azerbaijan;Azerbaïdjan
Burundi;Burundi
Bangladesh;Bangladesh
Ecuador;Equateur
Ethiopia;Ethiopie
Gabon;Gabon
Gambia;Gambie
Haiti;Haïti
Kiribati;Kiribati
Macao;Macao
Myanmar;Birmanie
Puerto Rico;Porto Rico
Qatar;Qatar
Slovakia;Slovaquie
Togo;Togo
Ukraine;Ukraine